"filename", "language", "TypeScript JSX", "CSS", "comment", "blank", "total"
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Api\Api.tsx", "TypeScript JSX", 41, 0, 0, 7, 48
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Chat\Chat.tsx", "TypeScript JSX", 1, 0, 0, 0, 1
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Container\ProfileContainer.tsx", "TypeScript JSX", 57, 0, 0, 4, 61
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Container\RecomContainer.tsx", "TypeScript JSX", 93, 0, 0, 7, 100
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Container\TempContainer.tsx", "TypeScript JSX", 1, 0, 0, 0, 1
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Filter\FilterOption.tsx", "TypeScript JSX", 1, 0, 0, 0, 1
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\MoviesCollection\Collection.tsx", "TypeScript JSX", 24, 0, 0, 10, 34
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\MoviesCollection\CreatePost.tsx", "TypeScript JSX", 105, 0, 0, 15, 120
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\MoviesCollection\Movie.tsx", "TypeScript JSX", 9, 0, 0, 1, 10
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\MoviesCollection\SendToFriend.tsx", "TypeScript JSX", 56, 0, 2, 8, 66
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Post\Comment.tsx", "TypeScript JSX", 0, 0, 0, -2, -2
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Post\CreatePost.tsx", "TypeScript JSX", -108, 0, 0, -13, -121
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Post\Post.tsx", "TypeScript JSX", -117, 0, -8, -31, -156
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Post\Posts.tsx", "TypeScript JSX", 2, 0, 0, 6, 8
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Profile\Profile.tsx", "TypeScript JSX", 134, 0, 0, 26, 160
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Recommendations\AddFriends.tsx", "TypeScript JSX", 39, 0, 0, 6, 45
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Recommendations\Friend.tsx", "TypeScript JSX", 100, 0, 3, 16, 119
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Recommendations\Recommendations.tsx", "TypeScript JSX", 68, 0, 0, 12, 80
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Tabs\Tabs.tsx", "TypeScript JSX", 8, 0, 0, 1, 9
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Users\User.css", "CSS", 0, 7, 0, 2, 9
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\index.tsx", "TypeScript JSX", 4, 0, 0, 2, 6
"Total", "-", 518, 7, -3, 77, 599
