"filename", "language", "JSON with Comments", "TypeScript JSX", "XML", "CSS", "TypeScript", "Markdown", "JSON", "HTML", "comment", "blank", "total"
"e:\asdsadasd\FrontasBakio\bakiofrontas\README.md", "Markdown", 0, 0, 0, 0, 0, 26, 0, 0, 0, 21, 47
"e:\asdsadasd\FrontasBakio\bakiofrontas\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 12561, 0, 0, 1, 12562
"e:\asdsadasd\FrontasBakio\bakiofrontas\package.json", "JSON", 0, 0, 0, 0, 0, 0, 53, 0, 0, 1, 54
"e:\asdsadasd\FrontasBakio\bakiofrontas\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 20, 23, 1, 44
"e:\asdsadasd\FrontasBakio\bakiofrontas\public\manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 26
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\App.css", "CSS", 0, 0, 0, 33, 0, 0, 0, 0, 0, 7, 40
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\App.test.tsx", "TypeScript JSX", 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\App.tsx", "TypeScript JSX", 0, 12, 0, 0, 0, 0, 0, 0, 0, 3, 15
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Api\Api.tsx", "TypeScript JSX", 0, 54, 0, 0, 0, 0, 0, 0, 0, 11, 65
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Chat\Chat.css", "CSS", 0, 0, 0, 27, 0, 0, 0, 0, 0, 3, 30
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Chat\Chat.tsx", "TypeScript JSX", 0, 106, 0, 0, 0, 0, 0, 0, 1, 30, 137
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Container\ChatContainer.tsx", "TypeScript JSX", 0, 94, 0, 0, 0, 0, 0, 0, 0, 5, 99
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Container\Container.css", "CSS", 0, 0, 0, 21, 0, 0, 0, 0, 0, 4, 25
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Container\Container.tsx", "TypeScript JSX", 0, 58, 0, 0, 0, 0, 0, 0, 0, 2, 60
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Container\ProfileContainer.tsx", "TypeScript JSX", 0, 57, 0, 0, 0, 0, 0, 0, 0, 4, 61
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Container\RecomContainer.tsx", "TypeScript JSX", 0, 93, 0, 0, 0, 0, 0, 0, 0, 7, 100
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Container\TempContainer.tsx", "TypeScript JSX", 0, 122, 0, 0, 0, 0, 0, 0, 0, 6, 128
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Filter\Filter.css", "CSS", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 7
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Filter\Filter.tsx", "TypeScript JSX", 0, 42, 0, 0, 0, 0, 0, 0, 0, 14, 56
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Filter\FilterOption.tsx", "TypeScript JSX", 0, 19, 0, 0, 0, 0, 0, 0, 0, 4, 23
