"filename", "language", "JSON with Comments", "TypeScript", "CSS", "XML", "TypeScript JSX", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"e:\asdsadasd\FrontasBakio\bakiofrontas\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 26, 0, 0, 21, 47
"e:\asdsadasd\FrontasBakio\bakiofrontas\package-lock.json", "JSON", 0, 0, 0, 0, 0, 12598, 0, 0, 0, 1, 12599
"e:\asdsadasd\FrontasBakio\bakiofrontas\package.json", "JSON", 0, 0, 0, 0, 0, 55, 0, 0, 0, 1, 56
"e:\asdsadasd\FrontasBakio\bakiofrontas\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 20, 23, 1, 44
"e:\asdsadasd\FrontasBakio\bakiofrontas\public\manifest.json", "JSON", 0, 0, 0, 0, 0, 25, 0, 0, 0, 1, 26
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\App.css", "CSS", 0, 0, 33, 0, 0, 0, 0, 0, 0, 7, 40
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\App.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 12, 0, 0, 0, 0, 3, 15
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Api\Api.tsx", "TypeScript JSX", 0, 0, 0, 0, 72, 0, 0, 0, 0, 16, 88
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Callendar\Callendar.tsx", "TypeScript JSX", 0, 0, 0, 0, 91, 0, 0, 0, 4, 15, 110
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Challenge\Challenge.tsx", "TypeScript JSX", 0, 0, 0, 0, 41, 0, 0, 0, 0, 10, 51
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Challenge\ChallengeForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 168, 0, 0, 0, 0, 4, 172
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Challenge\ChallengeTest.tsx", "TypeScript JSX", 0, 0, 0, 0, 77, 0, 0, 0, 0, 12, 89
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Challenge\ChallengesBox.tsx", "TypeScript JSX", 0, 0, 0, 0, 54, 0, 0, 0, 0, 11, 65
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Challenge\ChallengesModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 73, 0, 0, 0, 0, 9, 82
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Chat\Chat.css", "CSS", 0, 0, 26, 0, 0, 0, 0, 0, 0, 4, 30
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Chat\Chat.tsx", "TypeScript JSX", 0, 0, 0, 0, 147, 0, 0, 0, 2, 33, 182
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Chat\ChatMovie.tsx", "TypeScript JSX", 0, 0, 0, 0, 20, 0, 0, 0, 1, 3, 24
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Chat\MessageInput.tsx", "TypeScript JSX", 0, 0, 0, 0, 7, 0, 0, 0, 0, 3, 10
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Container\ChatContainer.tsx", "TypeScript JSX", 0, 0, 0, 0, 104, 0, 0, 0, 1, 9, 114
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Container\Container.css", "CSS", 0, 0, 21, 0, 0, 0, 0, 0, 0, 4, 25
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Container\Container.tsx", "TypeScript JSX", 0, 0, 0, 0, 60, 0, 0, 0, 0, 2, 62
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Container\ProfileContainer.tsx", "TypeScript JSX", 0, 0, 0, 0, 70, 0, 0, 0, 0, 5, 75
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Container\RecomContainer.tsx", "TypeScript JSX", 0, 0, 0, 0, 93, 0, 0, 0, 0, 7, 100
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Container\TempContainer.tsx", "TypeScript JSX", 0, 0, 0, 0, 103, 0, 0, 0, 0, 3, 106
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Filter\Filter.css", "CSS", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 6
