"filename", "language", "JSON with Comments", "TypeScript", "JSON", "Markdown", "XML", "CSS", "HTML", "TypeScript JSX", "comment", "blank", "total"
"e:\asdsadasd\FrontasBakio\bakiofrontas\README.md", "Markdown", 0, 0, 0, 26, 0, 0, 0, 0, 0, 21, 47
"e:\asdsadasd\FrontasBakio\bakiofrontas\package-lock.json", "JSON", 0, 0, 12598, 0, 0, 0, 0, 0, 0, 1, 12599
"e:\asdsadasd\FrontasBakio\bakiofrontas\package.json", "JSON", 0, 0, 55, 0, 0, 0, 0, 0, 0, 1, 56
"e:\asdsadasd\FrontasBakio\bakiofrontas\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 20, 0, 23, 1, 44
"e:\asdsadasd\FrontasBakio\bakiofrontas\public\manifest.json", "JSON", 0, 0, 25, 0, 0, 0, 0, 0, 0, 1, 26
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\App.css", "CSS", 0, 0, 0, 0, 0, 33, 0, 0, 0, 7, 40
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\App.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 8, 0, 2, 10
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 12, 0, 3, 15
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Api\Api.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 87, 0, 22, 109
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Callendar\Callendar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 93, 2, 23, 118
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Callendar\DatePicker.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 28, 0, 3, 31
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Challenge\AllChallenge.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 54, 0, 18, 72
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Challenge\Challenge.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 41, 0, 10, 51
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Challenge\ChallengeForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 168, 0, 4, 172
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Challenge\ChallengeTest.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 77, 0, 12, 89
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Challenge\ChallengesAllModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 72, 3, 13, 88
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Challenge\ChallengesBox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 74, 0, 16, 90
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Challenge\ChallengesModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 67, 0, 8, 75
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Chat\Chat.css", "CSS", 0, 0, 0, 0, 0, 51, 0, 0, 0, 8, 59
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Chat\Chat.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 142, 1, 30, 173
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Chat\ChatMovie.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 109, 1, 14, 124
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Chat\SendMessage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 82, 0, 11, 93
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Container\ChatContainer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 131, 1, 18, 150
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Container\Container.css", "CSS", 0, 0, 0, 0, 0, 21, 0, 0, 0, 4, 25
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Container\Container.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 60, 0, 2, 62
"e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Container\ProfileContainer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 71, 0, 5, 76
