Date : 2023-05-08 04:05:29
Directory : e:\asdsadasd\FrontasBakio
Total : 92 files,  18411 codes, 78 comments, 835 blanks, all 19324 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          4 |     12,705 |          0 |          4 |     12,709 |
| TypeScript JSX     |         68 |      5,224 |         50 |        733 |      6,007 |
| CSS                |         12 |        342 |          0 |         69 |        411 |
| XML                |          2 |         54 |          0 |          1 |         55 |
| JSON with Comments |          1 |         26 |          0 |          1 |         27 |
| Markdown           |          1 |         26 |          0 |         21 |         47 |
| HTML               |          1 |         20 |         23 |          1 |         44 |
| TypeScript         |          3 |         14 |          5 |          5 |         24 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                        | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                           |         92 |     18,411 |         78 |        835 |     19,324 |
| . (Files)                                                                                                   |          1 |         27 |          0 |          1 |         28 |
| bakiofrontas                                                                                                |         91 |     18,384 |         78 |        834 |     19,296 |
| bakiofrontas (Files)                                                                                        |          4 |     12,705 |          0 |         24 |     12,729 |
| bakiofrontas\public                                                                                         |          2 |         45 |         23 |          2 |         70 |
| bakiofrontas\src                                                                                            |         85 |      5,634 |         55 |        808 |      6,497 |
| bakiofrontas\src (Files)                                                                                    |          9 |        220 |         35 |         30 |        285 |
| bakiofrontas\src\components                                                                                 |         75 |      5,361 |         20 |        777 |      6,158 |
| bakiofrontas\src\components\Api                                                                             |          1 |         87 |          0 |         22 |        109 |
| bakiofrontas\src\components\Callendar                                                                       |          2 |        121 |          2 |         26 |        149 |
| bakiofrontas\src\components\Challenge                                                                       |          7 |        553 |          3 |         81 |        637 |
| bakiofrontas\src\components\Chat                                                                            |          4 |        384 |          2 |         63 |        449 |
